produkt_id,kod_kreskowy,symbol_dostepu,opis
100000014,05909991023652,Rpz,1 fiol. 5 ml
100000014,05909991023669,Rpz,4 fiol. 5 ml
100000014,05909991023676,Rpz,10 fiol. 5 ml
100000020,05909991023683,Rp,1 tuba 15 g
100000020,05909991023690,Rp,1 tuba 30 g
100000037,05909991023744,Rp,10 tabl.
100000037,05909991023751,Rp,20 tabl.
100000037,05909991023768,Rp,30 tabl.
100000037,05909991023775,Rp,60 tabl.
100000037,05909991066178,Rp,40 tabl.
100000043,05909991023782,Rp,10 tabl.
100000043,05909991023799,Rp,20 tabl.
100000043,05909991023805,Rp,30 tabl.
100000043,05909991023829,Rp,50 tabl.
100000043,05909991023836,Rp,60 tabl.
100000043,05909991066185,Rp,40 tabl.
100000089,05909990786718,OTC,1 tuba 50 g
100000089,05909990786725,OTC,1 dyspenser 500 g
100000095,05909990799817,Rp,30 tabl.
100000095,05909990072866,Rp,60 tabl.
100000126,05909990805518,Rp,10 amp. 10 ml
100000126,05909990805617,Rp,5 fiol. 20 ml
100000126,05909990805624,Rp,10 fiol. 20 ml
100000250,05909990782512,Rp,28 tabl.
100000250,05909990782529,Rp,56 tabl. w blistrze
100000250,05909990782536,Rp,98 tabl.
100000250,05909990782543,Rp,14 tabl.
100000250,05909990430178,Rp,56 tabl. w blistrze perforowanym
100000296,05909990794812,Rp,1 fiol. 1 ml
100000296,05909990794829,Rp,10 fiol. 1 ml
100000296,05909990794836,Rp,25 fiol. 1 ml
100000296,05909990794843,Rp,1 amp.-strzyk. 1 ml ¦ 1 igła
100000296,05909990794850,Rp,10 amp.-strzyk. 1 ml ¦ 1 igła
100000296,05909990794867,Rp,25 amp.-strzyk. 1 ml ¦ 1 igła
100000296,05909990794874,Rp,1 amp.-strzyk. 1 ml bez igły
100000296,05909990794881,Rp,10 amp.-strzyk. 1 ml bez igły
100000296,05909990794898,Rp,25 amp.-strzyk. 1 ml bez igły
100000310,05909990800018,Rp,10 fiol. 50 mg + filtr membranowy
100000310,05909990800025,Rp,1 fiol. 50 mg + filtr membranowy
100000356,05909990665891,Rp,28 tabl.
100000356,05909990665907,Rp,30 tabl.
100000356,05909990665938,Rp,56 tabl.
100000356,05909990665945,Rp,60 tabl.
100000362,05909990022502,Rpz,1 butelka 240 ml
100000391,05909990785919,Rp,10 tabl.
100000505,05909990683307,Rpz,"1 amp.-strzyk. 0,5 ml z zabezpieczeniem igły"
100000505,05909990683338,Rpz,"3 amp.-strzyk. 0,5 ml z zabezpieczeniem igły"
100000505,05909990683345,Rpz,"5 amp.-strzyk. 0,5 ml z zabezpieczeniem igły"
100000505,05909990683352,Rpz,"10 amp.-strzyk. 0,5 ml z zabezpieczeniem igły"
